date,OT1,OT2,OT3
2023-01-07 06:00:00,0.41,-0.04,-0.29
2023-01-07 07:00:00,0.33,-0.54,-0.35
2023-01-07 08:00:00,0.29,0.15,-0.62
2023-01-07 09:00:00,0.25,0.03,-0.64
2023-01-07 10:00:00,0.19,-1.1,-0.59
2023-01-07 11:00:00,0.16,-0.09,-0.54
2023-01-07 12:00:00,0.18,-0.57,-0.67
2023-01-07 13:00:00,0.19,0.2,-0.66
2023-01-07 14:00:00,0.2,0.1,-0.54
2023-01-07 15:00:00,0.27,-1.23,-0.48
2023-01-07 16:00:00,0.3,-0.2,-0.45
2023-01-07 17:00:00,0.33,-0.58,-0.55
2023-01-07 18:00:00,0.4,-0.07,-0.73
2023-01-07 19:00:00,0.47,0.03,-0.61
2023-01-07 20:00:00,0.52,-0.46,-0.44
2023-01-07 21:00:00,0.6,0.13,-0.29
2023-01-07 22:00:00,0.64,-0.69,-0.15
2023-01-07 23:00:00,0.7,-0.15,-0.03
2023-01-08 00:00:00,0.74,0.24,-0.06
2023-01-08 01:00:00,0.78,-0.82,-0.06
2023-01-08 02:00:00,0.8,-0.27,0.16
2023-01-08 03:00:00,0.83,-0.93,0.36
2023-01-08 04:00:00,0.82,-0.18,0.52
2023-01-08 05:00:00,0.82,0.01,0.64
2023-01-08 06:00:00,0.84,-0.45,0.72
2023-01-08 07:00:00,0.86,-0.34,0.75
2023-01-08 08:00:00,0.86,-0.82,0.64
2023-01-08 09:00:00,0.85,-0.1,0.81
2023-01-08 10:00:00,0.83,0.23,1.0
2023-01-08 11:00:00,0.85,-0.44,1.11
2023-01-08 12:00:00,0.86,0.16,1.13
2023-01-08 13:00:00,0.82,-0.81,1.11
2023-01-08 14:00:00,0.81,-0.15,1.02
2023-01-08 15:00:00,0.79,-0.13,0.99
2023-01-08 16:00:00,0.8,-0.94,0.98
2023-01-08 17:00:00,0.77,-0.79,1.05
2023-01-08 18:00:00,0.76,-0.62,1.01
2023-01-08 19:00:00,0.74,-0.22,0.99
2023-01-08 20:00:00,0.72,-0.19,0.92
2023-01-08 21:00:00,0.71,-0.29,0.88
2023-01-08 22:00:00,0.69,-0.79,0.81
2023-01-08 23:00:00,0.68,-0.76,0.81
2023-01-09 00:00:00,0.65,0.16,0.7
2023-01-09 01:00:00,0.6,0.12,0.65
2023-01-09 02:00:00,0.57,-0.82,0.58
2023-01-09 03:00:00,0.53,-0.59,0.59
2023-01-09 04:00:00,0.51,-0.81,0.56
2023-01-09 05:00:00,0.51,-0.05,0.66
2023-01-09 06:00:00,0.5,0.42,0.6
2023-01-09 07:00:00,0.55,-0.83,0.42
2023-01-09 08:00:00,0.54,-1.46,0.42
2023-01-09 09:00:00,0.58,-0.88,0.53
2023-01-09 10:00:00,0.61,-0.04,0.54
2023-01-09 11:00:00,0.62,0.72,0.5
2023-01-09 12:00:00,0.65,-0.9,0.55
2023-01-09 13:00:00,0.69,-1.3,0.54
2023-01-09 14:00:00,-0.91,-0.05,0.06
2023-01-09 15:00:00,-0.92,-0.02,-1.57
2023-01-09 16:00:00,-0.95,0.01,-0.99
2023-01-09 17:00:00,-0.95,0.01,0.23
2023-01-09 18:00:00,-0.95,-0.03,0.38
2023-01-09 19:00:00,-0.94,0.04,-1.56
2023-01-09 20:00:00,-0.96,0.05,-1.32
2023-01-09 21:00:00,-0.96,-0.03,-0.25
2023-01-09 22:00:00,-0.95,0.19,0.65
2023-01-09 23:00:00,-0.95,0.42,-0.54
2023-01-10 00:00:00,-0.96,0.35,-1.73
2023-01-10 01:00:00,-0.96,0.42,-0.81
2023-01-10 02:00:00,-0.96,0.33,0.34
2023-01-10 03:00:00,-0.95,0.36,0.41
2023-01-10 04:00:00,-0.97,0.32,-1.43
2023-01-10 05:00:00,-0.95,0.29,-1.12
2023-01-10 06:00:00,-0.92,0.34,0.01
2023-01-10 07:00:00,-0.92,0.34,0.82
2023-01-10 08:00:00,-0.9,0.32,-0.22
2023-01-10 09:00:00,-0.9,0.24,-1.17
2023-01-10 10:00:00,-0.9,0.15,-0.46
2023-01-10 11:00:00,-0.9,0.09,0.86
2023-01-10 12:00:00,-0.9,0.02,0.6
2023-01-10 13:00:00,-0.9,0.02,-1.32
2023-01-10 14:00:00,-0.89,0.09,-0.63
2023-01-10 15:00:00,-0.9,0.07,0.35
2023-01-10 16:00:00,-0.9,0.1,0.32
2023-01-10 17:00:00,-0.9,0.06,-1.31
2023-01-10 18:00:00,-0.9,0.02,-1.08
2023-01-10 19:00:00,-0.9,0.0,0.0
2023-01-10 20:00:00,-0.87,-0.07,0.95
2023-01-10 21:00:00,-0.9,-0.04,-0.05
2023-01-10 22:00:00,-0.9,-0.05,-1.17
2023-01-10 23:00:00,-0.9,-0.05,-0.4
2023-01-11 00:00:00,-0.9,-0.07,0.7
2023-01-11 01:00:00,-0.9,-0.09,0.38
2023-01-11 02:00:00,-0.88,-0.11,-1.54
2023-01-11 03:00:00,-0.9,-0.11,-0.94
2023-01-11 04:00:00,-0.89,-0.12,0.25
2023-01-11 05:00:00,-0.9,-0.12,0.57
2023-01-11 06:00:00,-0.9,-0.17,-1.07
2023-01-11 07:00:00,-0.87,-0.22,-1.44
2023-01-11 08:00:00,-0.83,-0.22,-0.23
2023-01-11 09:00:00,-0.86,-0.21,0.34
2023-01-11 10:00:00,-0.87,-0.2,-0.45
2023-01-11 11:00:00,-0.83,-0.19,-1.69
2023-01-11 12:00:00,-0.82,-0.22,-0.79
2023-01-11 13:00:00,-0.84,-0.29,0.58
2023-01-11 14:00:00,-0.85,-0.27,0.07
2023-01-11 15:00:00,-0.81,-0.28,-1.59
2023-01-11 16:00:00,-0.82,-0.25,-0.92
2023-01-11 17:00:00,-0.8,-0.2,0.27
2023-01-11 18:00:00,-0.85,-0.12,0.57
2023-01-11 19:00:00,-0.84,-0.1,-1.27
2023-01-11 20:00:00,-0.83,-0.07,-1.23
2023-01-11 21:00:00,-0.8,-0.02,-0.5
2023-01-11 22:00:00,-0.82,-0.01,0.88
2023-01-11 23:00:00,-0.8,-0.04,0.0
2023-01-12 00:00:00,-0.85,-0.11,-1.3
2023-01-12 01:00:00,-0.85,-0.12,-0.98
2023-01-12 02:00:00,-0.77,-0.16,0.68
2023-01-12 03:00:00,-0.72,-0.15,0.16
2023-01-12 04:00:00,-0.79,-0.17,-1.78
2023-01-12 05:00:00,-0.81,-0.15,-1.12
2023-01-12 06:00:00,-0.71,-0.13,0.05
2023-01-12 07:00:00,-0.68,-0.03,0.48
2023-01-12 08:00:00,-0.65,-0.09,-1.51
2023-01-12 09:00:00,-0.63,-0.2,-1.53
2023-01-12 10:00:00,-0.6,-0.19,-0.2
2023-01-12 11:00:00,-0.53,-0.15,0.62
2023-01-12 12:00:00,-0.47,-0.04,-0.23
2023-01-12 13:00:00,-0.43,-0.02,-1.79
2023-01-12 14:00:00,-0.3,-0.1,-0.75
2023-01-12 15:00:00,-0.27,-0.15,0.58
2023-01-12 16:00:00,-0.37,-0.13,0.13
2023-01-12 17:00:00,-0.47,-0.19,-1.56
2023-01-12 18:00:00,-0.48,-0.17,-1.04
2023-01-12 19:00:00,-0.53,-0.19,0.34
2023-01-12 20:00:00,-0.51,-0.17,0.1
2023-01-12 21:00:00,-0.53,-0.15,-1.64
2023-01-12 22:00:00,-0.49,-0.12,-1.01
2023-01-12 23:00:00,-0.47,-0.18,-0.22
2023-01-13 00:00:00,-0.56,-0.17,0.76
2023-01-13 01:00:00,-0.58,-0.2,-0.5
2023-01-13 02:00:00,-0.53,-0.2,-1.22
2023-01-13 03:00:00,-0.57,-0.19,-0.54
2023-01-13 04:00:00,-0.57,-0.2,0.73
2023-01-13 05:00:00,-0.56,-0.16,-0.33
2023-01-13 06:00:00,-0.63,-0.17,-1.39
2023-01-13 07:00:00,-0.69,-0.22,-0.79
2023-01-13 08:00:00,-0.77,-0.22,0.41
2023-01-13 09:00:00,-0.75,-0.18,0.33
2023-01-13 10:00:00,-0.73,-0.15,-1.07
2023-01-13 11:00:00,-0.71,-0.11,-0.98
2023-01-13 12:00:00,-0.73,-0.13,0.0
2023-01-13 13:00:00,-0.72,-0.2,0.85
2023-01-13 14:00:00,-0.75,-0.12,-0.55
2023-01-13 15:00:00,-0.76,-0.05,-1.4
2023-01-13 16:00:00,-0.73,-0.06,-0.72
2023-01-13 17:00:00,-0.75,-0.1,0.85
2023-01-13 18:00:00,-0.71,-0.1,0.32
2023-01-13 19:00:00,-0.65,-0.07,-1.29
2023-01-13 20:00:00,-0.58,-0.07,-0.67
2023-01-13 21:00:00,-0.54,-0.05,0.48
2023-01-13 22:00:00,-0.6,-0.03,0.78
2023-01-13 23:00:00,-0.77,-0.17,-0.79
2023-01-14 00:00:00,-0.82,-0.19,-1.09
2023-01-14 01:00:00,-0.77,-0.09,0.03
2023-01-14 02:00:00,-0.69,-0.19,0.65
2023-01-14 03:00:00,-0.58,-0.15,-1.07
2023-01-14 04:00:00,-0.49,-0.17,-1.41
2023-01-14 05:00:00,-0.46,-0.13,-0.56
2023-01-14 06:00:00,-0.37,-0.12,0.78
2023-01-14 07:00:00,-0.36,-0.12,-0.1
2023-01-14 08:00:00,-0.34,-0.12,-1.56
2023-01-14 09:00:00,-0.27,-0.05,-0.84
2023-01-14 10:00:00,-0.29,-0.04,0.7
2023-01-14 11:00:00,-0.31,-0.04,0.27
2023-01-14 12:00:00,-0.28,-0.02,-1.49
2023-01-14 13:00:00,-0.28,0.06,-1.12
2023-01-14 14:00:00,-0.34,0.07,0.26
2023-01-14 15:00:00,-0.41,0.07,0.36
2023-01-14 16:00:00,-0.39,0.05,-1.39
2023-01-14 17:00:00,-0.39,0.07,-1.49
2023-01-14 18:00:00,-0.41,0.07,-0.42
2023-01-14 19:00:00,-0.4,0.1,0.16
2023-01-14 20:00:00,-0.4,0.12,0.13
2023-01-14 21:00:00,-0.4,0.06,-1.65
2023-01-14 22:00:00,-0.42,0.02,-1.3
2023-01-14 23:00:00,-0.41,0.04,-0.82
2023-01-15 00:00:00,-0.42,0.1,0.5
2023-01-15 01:00:00,-0.44,0.12,0.04
2023-01-15 02:00:00,-0.48,0.1,-0.96
2023-01-15 03:00:00,-0.5,0.07,-0.48
2023-01-15 04:00:00,-0.54,0.1,-0.3
2023-01-15 05:00:00,-0.51,0.12,-0.06
2023-01-15 06:00:00,-0.5,0.12,-0.02
2023-01-15 07:00:00,-0.48,0.08,-1.29
2023-01-15 08:00:00,-0.5,0.08,-0.87
2023-01-15 09:00:00,-0.53,0.03,-0.55
2023-01-15 10:00:00,-0.53,0.04,-0.69
2023-01-15 11:00:00,-0.57,0.04,-0.79
2023-01-15 12:00:00,-0.45,0.05,-0.89
2023-01-15 13:00:00,-0.52,0.02,-0.82
2023-01-15 14:00:00,-0.5,0.11,-0.8
2023-01-15 15:00:00,-0.5,-0.13,-0.98
2023-01-15 16:00:00,-0.5,-0.19,-0.96
2023-01-15 17:00:00,-0.53,-0.24,-0.82
2023-01-15 18:00:00,-0.55,-0.21,-0.68
2023-01-15 19:00:00,-0.55,-0.15,-0.6
2023-01-15 20:00:00,-0.56,-0.04,-0.5
2023-01-15 21:00:00,-0.58,-0.18,-0.43
2023-01-15 22:00:00,-0.56,-0.07,-1.14
2023-01-15 23:00:00,-0.59,-0.5,-0.7
2023-01-16 00:00:00,-0.6,-0.59,-0.73
2023-01-16 01:00:00,-0.62,-0.49,-0.76
2023-01-16 02:00:00,-0.67,-0.55,-0.89
2023-01-16 03:00:00,-0.68,-0.54,-0.83
2023-01-16 04:00:00,-0.68,-0.42,-0.9
2023-01-16 05:00:00,-0.68,-0.48,-0.84
2023-01-16 06:00:00,-0.73,-0.53,-0.84
2023-01-16 07:00:00,-0.68,-0.35,-0.87
2023-01-16 08:00:00,-0.63,-0.21,-0.85
2023-01-16 09:00:00,-0.68,-0.37,-0.81
2023-01-16 10:00:00,-0.65,-0.36,-0.77
2023-01-16 11:00:00,-0.6,-0.43,-0.82
2023-01-16 12:00:00,-0.58,-0.6,-0.75
2023-01-16 13:00:00,-0.58,-0.53,-0.73
2023-01-16 14:00:00,-0.6,-0.49,-0.7
2023-01-16 15:00:00,-0.58,-0.16,-0.72
2023-01-16 16:00:00,-0.56,-0.04,-0.78
2023-01-16 17:00:00,-0.58,0.15,-0.74
2023-01-16 18:00:00,-0.58,0.19,-0.75
2023-01-16 19:00:00,-0.57,0.25,-0.72
2023-01-16 20:00:00,-0.53,0.15,-0.71
2023-01-16 21:00:00,-0.52,0.25,-0.74
2023-01-16 22:00:00,-0.46,0.22,-0.72
2023-01-16 23:00:00,-0.49,0.16,-0.7
2023-01-17 00:00:00,-0.46,0.2,-0.71
2023-01-17 01:00:00,-0.48,0.18,-0.79
2023-01-17 02:00:00,-0.5,0.27,-0.8
2023-01-17 03:00:00,-0.49,0.25,-0.87
2023-01-17 04:00:00,-0.51,0.21,-0.76
2023-01-17 05:00:00,-0.48,0.2,-0.65
2023-01-17 06:00:00,-0.5,0.25,-0.57
2023-01-17 07:00:00,-0.5,0.28,-0.51
2023-01-17 08:00:00,-0.51,0.3,-0.43
2023-01-17 09:00:00,-0.63,0.41,-0.5
2023-01-17 10:00:00,-0.58,0.33,-0.57
2023-01-17 11:00:00,-0.48,0.4,-0.6
2023-01-17 12:00:00,-0.48,0.32,-0.58
2023-01-17 13:00:00,-0.48,0.27,-0.6
2023-01-17 14:00:00,-0.52,0.01,-0.57
2023-01-17 15:00:00,-0.51,0.1,-0.57
2023-01-17 16:00:00,-0.54,0.15,-0.79
2023-01-17 17:00:00,-0.46,0.27,-0.85
2023-01-17 18:00:00,-0.46,0.23,-0.85
2023-01-17 19:00:00,-0.51,0.38,-0.73
2023-01-17 20:00:00,-0.56,0.45,-0.69
2023-01-17 21:00:00,-0.58,0.3,-0.24
2023-01-17 22:00:00,-0.61,0.35,-0.44
2023-01-17 23:00:00,-0.56,0.58,-0.85
2023-01-18 00:00:00,-0.56,0.69,-0.8
2023-01-18 01:00:00,-0.47,0.88,-0.95
2023-01-18 02:00:00,-0.45,0.8,-0.83
2023-01-18 03:00:00,-0.45,0.76,-0.78
2023-01-18 04:00:00,0.32,1.0,0.37
2023-01-18 05:00:00,0.71,-1.33,0.37
2023-01-18 06:00:00,0.7,-1.44,0.37
2023-01-18 07:00:00,0.75,-0.16,0.38
2023-01-18 08:00:00,0.88,0.7,0.37
2023-01-18 09:00:00,0.58,0.19,0.36
2023-01-18 10:00:00,1.34,-1.78,0.36
2023-01-18 11:00:00,0.66,-0.91,0.37
2023-01-18 12:00:00,0.71,0.59,0.37
2023-01-18 13:00:00,0.23,1.18,0.38
2023-01-18 14:00:00,0.77,-1.19,0.4
2023-01-18 15:00:00,0.85,-1.52,0.42
2023-01-18 16:00:00,0.87,-0.44,0.35
2023-01-18 17:00:00,0.77,0.47,0.29
2023-01-18 18:00:00,0.49,0.81,0.52
2023-01-18 19:00:00,1.13,-1.82,0.54
2023-01-18 20:00:00,0.87,-1.19,0.48
2023-01-18 21:00:00,0.74,-0.28,0.41
2023-01-18 22:00:00,0.26,0.87,0.26
2023-01-18 23:00:00,0.66,0.5,0.14
2023-01-19 00:00:00,0.8,-1.97,-0.07
2023-01-19 01:00:00,0.91,-1.19,-0.3
2023-01-19 02:00:00,0.8,0.0,-0.33
2023-01-19 03:00:00,0.52,1.16,-0.36
2023-01-19 04:00:00,1.25,-0.8,-0.28
2023-01-19 05:00:00,0.76,-1.45,-0.24
2023-01-19 06:00:00,0.86,-0.68,-0.24
2023-01-19 07:00:00,0.3,0.79,-0.29
2023-01-19 08:00:00,0.72,0.58,-0.45
2023-01-19 09:00:00,0.87,-1.49,-0.34
2023-01-19 10:00:00,0.92,-1.13,-0.22
2023-01-19 11:00:00,0.86,0.28,-0.09
2023-01-19 12:00:00,0.5,1.09,0.01
2023-01-19 13:00:00,1.09,-0.66,0.07
2023-01-19 14:00:00,0.8,-1.71,0.13
2023-01-19 15:00:00,0.77,-0.72,0.24
2023-01-19 16:00:00,0.32,0.55,0.05
2023-01-19 17:00:00,0.67,1.05,0.01
2023-01-19 18:00:00,0.68,-1.65,0.07
2023-01-19 19:00:00,0.88,-0.62,0.04
2023-01-19 20:00:00,0.78,-0.46,0.01
2023-01-19 21:00:00,0.55,1.06,0.0
2023-01-19 22:00:00,1.01,0.15,-0.04
2023-01-19 23:00:00,0.85,-1.92,-0.07
2023-01-20 00:00:00,0.74,-1.27,-0.12
2023-01-20 01:00:00,0.43,0.56,-0.09
2023-01-20 02:00:00,0.72,1.46,-0.11
2023-01-20 03:00:00,0.9,-1.2,-0.11
2023-01-20 04:00:00,0.87,-0.96,-0.09
2023-01-20 05:00:00,0.93,-0.66,-0.07
2023-01-20 06:00:00,0.55,0.92,-0.14
2023-01-20 07:00:00,1.13,0.14,-0.09
2023-01-20 08:00:00,0.85,-1.87,0.0
2023-01-20 09:00:00,0.76,-0.98,0.07
2023-01-20 10:00:00,0.39,0.45,0.07
2023-01-20 11:00:00,0.67,1.18,0.13
2023-01-20 12:00:00,0.92,-1.08,0.21
2023-01-20 13:00:00,0.91,-1.29,0.26
2023-01-20 14:00:00,0.77,-0.49,0.25
2023-01-20 15:00:00,0.46,0.62,0.17
2023-01-20 16:00:00,0.88,0.39,0.11
2023-01-20 17:00:00,0.64,-1.64,0.2
2023-01-20 18:00:00,0.84,-1.05,0.15
2023-01-20 19:00:00,0.39,0.43,0.01
2023-01-20 20:00:00,0.68,1.09,-0.04
2023-01-20 21:00:00,1.1,-0.87,-0.12
2023-01-20 22:00:00,0.89,-0.99,-0.25
2023-01-20 23:00:00,0.86,-0.38,-0.29
2023-01-21 00:00:00,0.51,0.56,-0.27
2023-01-21 01:00:00,1.1,0.05,-0.25
2023-01-21 02:00:00,0.79,-1.3,-0.27
2023-01-21 03:00:00,0.83,-0.74,-0.44
2023-01-21 04:00:00,0.36,0.54,-0.32
2023-01-21 05:00:00,0.7,0.87,-0.19
2023-01-21 06:00:00,1.09,-0.86,-0.16
2023-01-21 07:00:00,0.89,-0.95,-0.12
2023-01-21 08:00:00,0.77,-0.16,0.08
2023-01-21 09:00:00,0.44,0.63,0.21
2023-01-21 10:00:00,0.9,-0.08,0.15
2023-01-21 11:00:00,0.82,-1.13,0.01
2023-01-21 12:00:00,0.78,-0.79,0.02
2023-01-21 13:00:00,0.26,0.67,0.04
2023-01-21 14:00:00,0.7,1.11,0.04
2023-01-21 15:00:00,1.0,-0.62,0.03
2023-01-21 16:00:00,0.85,-1.46,0.04
2023-01-21 17:00:00,0.71,-0.66,0.07
2023-01-21 18:00:00,0.49,0.53,0.06
2023-01-21 19:00:00,1.24,1.11,0.05
2023-01-21 20:00:00,0.87,-1.09,0.01
2023-01-21 21:00:00,0.79,-1.13,-0.02
2023-01-21 22:00:00,0.3,-0.47,0.02
2023-01-21 23:00:00,0.75,0.26,0.12
2023-01-22 00:00:00,0.95,0.6,0.08
2023-01-22 01:00:00,0.71,-1.55,-0.01
2023-01-22 02:00:00,0.63,-1.36,-0.07
2023-01-22 03:00:00,0.41,0.1,-0.12
2023-01-22 04:00:00,0.87,1.17,-0.17
2023-01-22 05:00:00,0.68,-0.24,-0.25
2023-01-22 06:00:00,0.8,-2.1,-0.17
2023-01-22 07:00:00,0.18,-0.95,-0.17
2023-01-22 08:00:00,0.46,0.57,-0.14
2023-01-22 09:00:00,0.44,1.11,-0.12
2023-01-22 10:00:00,0.55,-1.26,-0.13
2023-01-22 11:00:00,0.81,-1.28,-0.15
2023-01-22 12:00:00,0.83,-0.5,-0.16
2023-01-22 13:00:00,0.69,0.79,-0.21
2023-01-22 14:00:00,0.47,0.4,-0.22
2023-01-22 15:00:00,0.49,-1.82,-0.18
2023-01-22 16:00:00,0.6,-1.29,-0.11
2023-01-22 17:00:00,0.47,0.12,-0.02
2023-01-22 18:00:00,0.47,1.26,0.06
2023-01-22 19:00:00,0.71,-0.28,0.08
2023-01-22 20:00:00,0.87,-1.63,0.06
2023-01-22 21:00:00,0.81,-0.92,-0.03
